name,type,source
Kaempferol 7-rhamnofuranoside,compound,food_db
Kaempferol 3-arabinoside,compound,food_db
Cannithrene 2,compound,food_db
Mulberrin,compound,food_db
Garcinone B,compound,food_db
Garcinone C,compound,food_db
Limocitrin,compound,food_db
Limocitrin 3-glucoside,compound,food_db
Liquiritigenin,compound,food_db
Galangin,compound,food_db
3-Methylgalangin,compound,food_db
Raffinose,compound,food_db
Gallic acid,compound,food_db
Methyl gallate,compound,food_db
Sanguiin H6,compound,food_db
Gemin D,compound,food_db
6''-O-Acetylgenistin,compound,food_db
6''-Malonylgenistin,compound,food_db
(S)-Naringenin,compound,food_db
Safflor Yellow A,compound,food_db
Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside,compound,food_db
Xenognosin A,compound,food_db
Nobiletin,compound,food_db
(-)-Ligballinol,compound,food_db
Eriodictyol 7-glucoside,compound,food_db
"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",compound,food_db
Pebrellin,compound,food_db
Diosmetin 7-rutinoside,compound,food_db
Eleutheroside B1,compound,food_db
Isofraxidin,compound,food_db
Amitenone,compound,food_db
Glycitein,compound,food_db
Undecanoic acid,compound,food_db
Ethyl undecanoate,compound,food_db
Carrotatoxin,compound,food_db
Glycerol trieicosanoate,compound,food_db
"Glycerol 1,2-di-(9Z,12Z-octadecadienoate) 3-octadecanoate",compound,food_db
Glycerol tribenzoate,compound,food_db
Dihydroisophorol,compound,food_db
(R)-Synephrine,compound,food_db
Choline,compound,food_db
Choline chloride,compound,food_db
Pimpinellidine,compound,food_db
N-gamma-L-Glutamyl-L-phenylalanine,compound,food_db
N-gamma-L-Glutamyl-L-tyrosine,compound,food_db
"3-Acetyl-2,5-dimethylfuran",compound,food_db
Hydroxy-alpha-sanshool,compound,food_db
N5-Hexanoylspermidine,compound,food_db
Diethyl disulfide,compound,food_db
Diethyl malonate,compound,food_db
"(-)-trans-2,5-Diethyltetrahydrofuran",compound,food_db
Diisopropyl disulfide,compound,food_db
3-Methyl-2-butenoic acid,compound,food_db
"(2E,4E)-2,4-Hexadienoic acid",compound,food_db
Methyl sorbate,compound,food_db
Lycopersiconol,compound,food_db
2-Pyrrolidinone,compound,food_db
Gossypol,compound,food_db
Methyl 10-undecenoate,compound,food_db
Lansiol,compound,food_db
Sodium calcium edetate,compound,food_db
Edetate disodium,compound,food_db
Edetate trisodium,compound,food_db
Edetate sodium,compound,food_db
Triacetin,compound,food_db
Ethanol,compound,food_db
Ethylene,compound,food_db
2-Methylpropane,compound,food_db
Glycerol,compound,food_db
Nonane,compound,food_db
Octane,compound,food_db
Butane,compound,food_db
Chloroform,compound,food_db
Cyclohexane,compound,food_db
Dimethyl sulfoxide,compound,food_db
Hexane,compound,food_db
Pentane,compound,food_db
Lubiminol,compound,food_db
Ginkgolide J,compound,food_db
Lucyoside O,compound,food_db
Stigmastentriol,compound,food_db
Tiglic acid,compound,food_db
Angelic acid,compound,food_db
5-Methyl-2(3H)-furanone,compound,food_db
Asparagusic acid,compound,food_db
Asparagusic acid syn-S-oxide,compound,food_db
Asparagusic acid anti-S-oxide,compound,food_db
9-Azabicyclo[3.3.1]nonan-3-one,compound,food_db
(S)-2-Azetidinecarboxylic acid,compound,food_db
Diazenedicarboxamide,compound,food_db
L-Asparagine,compound,food_db
Macrophorin D,compound,food_db
Tricetin,compound,food_db
Lucyoside Q,compound,food_db
Torvoside C,compound,food_db
Torvoside D,compound,food_db
3-O-Protocatechuoylceanothic acid,compound,food_db
"5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B",compound,food_db
Chalconaringenin,compound,food_db
Oleyl alcohol,compound,food_db
Phenylmethanethiol,compound,food_db
2-Methylbenzenethiol,compound,food_db
2-Methylbenzaldehyde,compound,food_db
3-Methylbenzaldehyde,compound,food_db
4-Methylbenzaldehyde,compound,food_db
(4-Methylphenyl)acetaldehyde,compound,food_db
3-(4-Methylphenyl)-2-propenal,compound,food_db
"1,8,8-Trimethyl-2-oxabicyclo[3.2.1]octan-3-one",compound,food_db
"p-Mentha-1,3,5,8-tetraene",compound,food_db
Xanthoxylin,compound,food_db
"2',6'-Dihydroxy-4'-methoxyacetophenone",compound,food_db
"2,4,5-Trimethoxybenzaldehyde",compound,food_db
Gallaldehyde,compound,food_db
"3,5-Dihydroxy-4-methoxybenzaldehyde",compound,food_db
"4-Hydroxy-3,5-dimethoxybenzaldehyde",compound,food_db
"2,4,6-Trihydroxybenzoic acid",compound,food_db
2-(4-Methylphenyl)-2-propanol,compound,food_db
1-(1-Methoxy-1-methylethyl)-4-methylbenzene,compound,food_db
"3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol",compound,food_db
Erinacine G,compound,food_db
Erinacine E,compound,food_db
"2,4'-Dihydroxyacetophenone",compound,food_db
"2',3'-Dihydroxyacetophenone",compound,food_db
"2',4'-Dihydroxyacetophenone",compound,food_db
"2',6'-Dihydroxyacetophenone",compound,food_db
Zierin,compound,food_db
Vanillin,compound,food_db
Vanillin acetate,compound,food_db
Vanilloside,compound,food_db
Ethyl vanillin,compound,food_db
"2,4-Dihydroxybenzoic acid",compound,food_db
2-Hydroxy-4-methoxybenzoic acid,compound,food_db
Gentisic acid,compound,food_db
"2,6-Dihydroxybenzoic acid",compound,food_db
Vanillic acid,compound,food_db
"3,5-Dihydroxybenzoic acid",compound,food_db
Phloretic acid,compound,food_db
"2,3,6-Trimethylphenol",compound,food_db
"1,4-Dimethoxybenzene",compound,food_db
2-Methoxy-4-vinylphenol,compound,food_db
"2,6-Dimethoxy-1,4-benzoquinone",compound,food_db
"2,6-Di-tert-butyl-1,4-benzoquinone",compound,food_db
Diosmetin,compound,food_db
"2,6-Dimethoxy-4-methylphenol",compound,food_db
(+)-Asarinin,compound,food_db
2-Hydroxy-6-pentadecylbenzoic acid,compound,food_db
4-Methoxybenzaldehyde,compound,food_db
2-Ethoxynaphthalene,compound,food_db
2-Naphthalenethiol,compound,food_db
Octacosanal,compound,food_db
2-Naphthol,compound,food_db
Wine lactone,compound,food_db
Sodium lactate,compound,food_db
S-Methyl benzenecarbothioate,compound,food_db
Hexacosanal,compound,food_db
Hydroquinone,compound,food_db
Mequinol,compound,food_db
Cinnamyl alcohol,compound,food_db
trans-Cinnamyl alcohol,compound,food_db
Cinnamyl acetate,compound,food_db
Erythrosine,compound,food_db
Phenol,compound,food_db
Acetylsalicylic acid,compound,food_db
Anthranilic acid,compound,food_db
Methyl anthranilate,compound,food_db
"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one",compound,food_db
(±)-Leucine,compound,food_db
"2-Amino-3-methylimidazo[4,5-f]quinoline",compound,food_db
"2-Amino-3,4-dimethylimidazo[4,5-f]quinoline",compound,food_db
"(R)-2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-glucoside",compound,food_db
Thiabendazole,compound,food_db
Thiazole,compound,food_db
"4,5-Dihydro-1-benzoxepin-3(2H)-one",compound,food_db
2-Thiophenecarboxaldehyde,compound,food_db
Thiophene,compound,food_db
2-Thiophenethiol,compound,food_db
Tryptamine,compound,food_db
Saccharin,compound,food_db
Saccharin sodium,compound,food_db
Saccharin calcium,compound,food_db
Urocanic acid,compound,food_db
"5-Ethyl-2,3-dimethylpyrazine",compound,food_db
5-Ethyl-2-methylpyridine,compound,food_db
2-Ethyl-4-methylthiazole,compound,food_db
4-Ethyl-2-methylthiazole,compound,food_db
2-Ethyl-5-methylthiophene,compound,food_db
3-Ethylpyridine,compound,food_db
1H-Indole-3-carboxaldehyde,compound,food_db
Indole-beta-carboxylic acid,compound,food_db
Indole-3-methyl acetate,compound,food_db
1H-Indole-3-acetamide,compound,food_db
3-(1H-Indol-3-yl)-2-propenoic acid,compound,food_db
1H-Indole-3-methanol,compound,food_db
1H-Indole-3-methanamine,compound,food_db
1H-Indole-3-propanoic acid,compound,food_db
Methyl 2-furoate,compound,food_db
Menadione,compound,food_db
Naphthalene,compound,food_db
Dantron,compound,food_db
Frusemide,compound,food_db
Furazolidone,compound,food_db
Procyanidin B1,compound,food_db
4-Hydroxybenzeneacetonitrile,compound,food_db
Skimmin,compound,food_db
Herniarin,compound,food_db
2-Acetyl-1-ethylpyrrole,compound,food_db
"1,1-Diethoxy-2-hexene",compound,food_db
Ethyl (±)-2-methyl-4-pentenoate,compound,food_db
Methyl (±)-2-Methylbutanoate,compound,food_db
Pentyl pentanoate,compound,food_db
Allyl nonanoate,compound,food_db
N-Acetyl-L-serine,compound,food_db
Propylene glycol stearate,compound,food_db
9-Pentadecenoic acid,compound,food_db
Saringosterol 3-glucoside,compound,food_db
Isofucosterol glucoside,compound,food_db
Isoeruboside B,compound,food_db
"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-glucoside",compound,food_db
"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]",compound,food_db
Cymorcin monoglucoside,compound,food_db
2-O-Protocatechuoylalphitolic acid,compound,food_db
2alpha-Hydroxypyracrenic acid,compound,food_db
6-Epi-7-isocucurbic acid glucoside,compound,food_db
Mono-trans-p-coumaroylmesotartaric acid,compound,food_db
Unshuoside A,compound,food_db
Protoisoeruboside B,compound,food_db
Dieporeticanin,compound,food_db
Montecristin,compound,food_db
(Z)-13-Oxo-9-octadecenoic acid,compound,food_db
(Z)-15-Oxo-11-eicosenoic acid,compound,food_db
Diisodityrosine,compound,food_db
(E)-2-Tetracosenoic acid,compound,food_db
Mangiferic acid,compound,food_db
8-Dotriacontenoic acid,compound,food_db
Pentasine,compound,food_db
Momordol,compound,food_db
Nicotinic acid,compound,food_db
Methyl nicotinate,compound,food_db
Ethyl nicotinate,compound,food_db
Etidronic acid,compound,food_db
Ethyl hexadecanoate,compound,food_db
Doristerol,compound,food_db
Ethyl salicylate,compound,food_db
Benzyl salicylate,compound,food_db
2-Phenylethyl beta-D-glucopyranoside,compound,food_db
"2,6-Diisopropyl-3-methylphenol",compound,food_db
"2,5-Diisopropyl-4-methylphenol",compound,food_db
"2,5-Diisopropyl-3-methylphenol",compound,food_db
"2,4-Diisopropyl-5-methylphenol",compound,food_db
"2,3-Diisopropyl-5-methylphenol",compound,food_db
4-Aminobenzoic acid,compound,food_db
L-Malic acid,compound,food_db
Ractopamine hydrochloride,compound,food_db
Harmalol,compound,food_db
Ascorbigen,compound,food_db
Vulgaxanthin I,compound,food_db
Vulgaxanthin II,compound,food_db
Betalamic acid,compound,food_db
Glycyrrhizin,compound,food_db
Glyciram,compound,food_db
Cellulase,compound,food_db
Nonivamide,compound,food_db
"7,7',8,8'-Tetrahydro-beta,beta-carotene",compound,food_db
(-)-trans-Carveol glucoside,compound,food_db
(+)-trans-Carveol glucoside,compound,food_db
D-Citronellol glucoside,compound,food_db
27-Deoxy-5alpha-cyprinol,compound,food_db
Methylgingerol,compound,food_db
"1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene",compound,food_db
"1,2-Epoxy-1,2,7,7',8,8',11',12'-octahydro-psi,psi-carotene",compound,food_db
Cochineal Red A,compound,food_db
(R)-alpha-Terpinyl glucoside,compound,food_db
Cryptochrome,compound,food_db
Methyl (xi)-3-nonenoate,compound,food_db
Bromelains,compound,food_db
Pancreatin,compound,food_db
Palmidrol,compound,food_db
(E)-2-Octenoic acid,compound,food_db
(S)-N-Acetylmethionine,compound,food_db
"(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol",compound,food_db
"2-Amino-3,8-dimethyl-3H-imidazo[4,5-f]quinoxaline",compound,food_db
Umbelliferone,compound,food_db
Isoelemicin,compound,food_db
Mangostanol,compound,food_db
Sanguiin H4,compound,food_db
Tigloidine,compound,food_db
Paucine,compound,food_db
Pancrelipase,compound,food_db
(S)-[6]-Gingerol,compound,food_db
D-Tagatose,compound,food_db
D-Tartaric acid,compound,food_db
Chinese tannin,compound,food_db
Tartaric acid,compound,food_db
L-Tartaric acid,compound,food_db
"alpha,alpha-Trehalose",compound,food_db
Neotrehalose,compound,food_db
D-Glucaric acid,compound,food_db
Sakebiose,compound,food_db
Sambubiose,compound,food_db
"2-C-Methyl-1,4-erythrono-D-lactone",compound,food_db
Sorbitan laurate,compound,food_db
Sorbitan oleate,compound,food_db
